title,artist,listType,Gross,Tickets_Sold,rank_each_year,releaseYear,x,y,rank,listHighestRank,
After,Aviron Pictures,Drama,12138565,1325170,125,2019,1511.693304,253.6436089,7,16.31189813,
The Secret Life of Pets 2,Universal,Adventure,158874395,17344366,16,2019,1516.191475,280.2662771,20,18.88362448,
Dragon Ball Super: Broly,FUNimation,Action,30376755,3316239,81,2019,1485.178339,291.543927,13,17.22918824,
Mary Poppins Returns,Walt Disney,Musical,33141176,3618032,78,2019,1459.719288,286.2678719,13,17.31628706,
A Beautiful Day in the Neig...,Sony Pictures,Drama,58801961,6419428,47,2019,1433.138519,300.1769587,17,17.88968576,
Unplanned,Pure Flix Enterta...,Drama,19005109,2074793,107,2019,1409.308528,289.7783278,9,16.7602184,
The Favourite,Fox Searchlight,Black Comedy,18478318,2017283,108,2019,1394.853735,279.051774,9,16.7321086,
Uri: The Surgical Strike,PackYourBag Films,Action,4185663,456950,169,2019,1391.632926,265.4272964,5,15.24717567,
Brittany Runs a Marathon,Amazon Studios,Drama,7136342,779076,141,2019,1389.734437,255.6091632,5,15.78071088,
Serenity,Aviron Pictures,Thriller/Suspense,8547045,933083,138,2019,1390.689846,245.6549082,5,15.96109617,
Wonder Park,Paramount Pictures,Adventure,45216793,4936331,61,2019,1389.675936,225.6806251,15,17.6269791,
Tyler Perry's A Madea Famil...,Lionsgate,Comedy,73257045,7997493,38,2019,1416.162024,207.7226973,17,18.10948498,
Ford v. Ferrari,20th Century Fox,Drama,109976339,12006150,26,2019,1419.348983,170.8602056,20,18.5157758,
Tod@s Caen,Lionsgate,Romantic Comedy,2670925,291585,187,2019,1442.209766,168.3334316,3,14.79793541,
Stuber,20th Century Fox,Comedy,22370452,2442189,98,2019,1449.119684,158.5225681,9,16.92325154,
Uncut Gems,A24,Thriller/Suspense,36556384,3990871,73,2019,1471.084271,157.2748073,13,17.41436639,
Isn't it Romantic,Warner Bros.,Romantic Comedy,48791187,5326549,56,2019,1489.982974,177.9348903,15,17.70306026,
Five Feet Apart,Lionsgate,Drama,45729221,4992273,60,2019,1513.098533,197.0574146,15,17.63824806,
Booksmart,United Artists,Comedy,22680962,2476087,97,2019,1520.030404,220.034559,9,16.93703645,
Jojo Rabbit,Fox Searchlight,Black Comedy,21579550,2355846,102,2019,1518.696796,237.985088,9,16.88725666,
The Current War: Director's...,101 Studios,Drama,5978673,652693,148,2019,1523.43337,251.1594898,5,15.60370919,
Jay and Silent Bob Reboot,Fathom Events,Comedy,3258824,355766,178,2019,1524.975041,259.0095377,3,14.99687695,
Promare,GKIDS,Adventure,2290542,250059,194,2019,1530.17403,262.004619,3,14.64429903,
Blinded by the Light,Warner Bros.,Drama,11901145,1299252,126,2019,1539.245598,266.2125451,7,16.29214517,
Bombshell,Lionsgate,Drama,24589972,2684494,91,2019,1545.180302,281.0711888,9,17.01784928,
My People, My Country,CMC Pictures,Drama,2323409,253647,193,2019,1537.069637,289.9152325,3,14.65854606
MA,Universal,Horror,45896028,5010483,59,2019,1537.664209,307.9054099,15,17.64188914,
Luce,Neon,Thriller/Suspense,2010613,219499,200,2019,1520.379444,302.8817788,3,14.51395021,
Yesterday,Universal,Romantic Comedy,73286650,8000726,37,2019,1504.850405,315.4853078,17,18.10988902,
Don't Let Go,OTL Releasing,Thriller/Suspense,5215062,569330,156,2019,1483.685359,309.4819038,5,15.46706154,
Alita: Battle Angel,20th Century Fox,Action,85710210,9357009,33,2019,1462.884161,320.6450127,17,18.26648251,
The Art of Self-Defense,Bleecker Street,Comedy,2410914,263200,190,2019,1442.908348,317.6283322,3,14.69551649,
Dark Phoenix,20th Century Fox,Action,65845974,7188425,43,2019,1431.627684,334.1433741,17,18.00282885,
Linda Ronstadt: The Sound o...,Greenwich,Documentary,4244894,463416,167,2019,1418.432655,316.5396468,5,15.26122741,
Maleficent: Mistress of Evil,Walt Disney,Adventure,113294737,12368421,23,2019,1393.549738,314.1229481,20,18.54550327,
Total Dhamaal,FIP,Comedy,2167632,236641,198,2019,1397.425804,291.4519068,3,14.58914589,
Green Book,Universal,Comedy,52927165,5778075,54,2019,1372.042279,286.5108273,15,17.78442728,
Arctic Dogs,Entertainment Stu...,Adventure,5801249,633324,151,2019,1382.477191,269.4488053,5,15.5735838,
BrightBurn,Sony Pictures,Horror,17259427,1884216,113,2019,1378.039871,258.2993573,7,16.66386904,
Joker,Warner Bros.,Thriller/Suspense,333772511,36438047,9,2019,1355.55347,239.9864727,22,19.62597021,
Richard Jewell,Warner Bros.,Drama,17822217,1945657,110,2019,1369.687807,212.3962477,9,16.69595638,
The Peanut Butter Falcon,Roadside Attractions,Adventure,20457158,2233314,104,2019,1384.545679,202.2353599,9,16.8338434,
Saaho,Yash Raj Films,Action,2626284,286712,188,2019,1394.821998,208.4319134,3,14.78108048,
Star Wars: The Rise of Skyw...,Walt Disney,Adventure,390706234,42653519,6,2019,1377.366644,172.0780812,22,19.78346652,
Toy Story 4,Walt Disney,Adventure,434038008,47384062,4,2019,1399.36196,130.5424811,25,19.88864266,
The Mustang,Focus Features,Drama,5336840,582624,153,2019,1424.791102,146.4597274,5,15.49014428,
John Wick: Chapter 3 �?Para...,Lionsgate,Action,171015687,18669834,14,2019,1444.357602,129.91623,20,18.95726585,
Gemini Man,Paramount Pictures,Action,48546770,5299865,57,2019,1479.352336,130.5233755,15,17.69803822,
Holmes & Watson,Sony Pictures,Comedy,2254994,246178,196,2019,1484.049829,147.8996109,3,14.62865787,
The Lighthouse,A24,Horror,10809320,1180056,127,2019,1490.9679,155.120435,7,16.19591928,
Doctor Sleep,Warner Bros.,Horror,31543097,3443570,80,2019,1510.591883,158.9803951,13,17.26686533,
War,Yash Raj Films,Action,3640355,397418,174,2019,1507.69274,174.715546,3,15.10759176,
On the Basis of Sex,Focus Features,Drama,22946065,2505029,95,2019,1524.56451,175.973502,9,16.94865702,
Frozen II,Walt Disney,Adventure,450439533,49174621,3,2019,1553.021715,194.5796153,25,19.9257344,
Playing with Fire,Paramount Pictures,Comedy,44406890,4847913,63,2019,1542.191349,233.0855001,15,17.6089052,
Hustlers,STX Entertainment,Drama,104962986,11458841,29,2019,1565.352569,259.3258865,20,18.46911833,
Breakthrough,20th Century Fox,Drama,40713082,4444659,69,2019,1565.188381,294.3255014,15,17.52206002,
The Mule,Warner Bros.,Drama,39084073,4266820,70,2019,1562.831965,324.2328133,15,17.4812256,
Cold War,Amazon Studios,Drama,4307930,470298,166,2019,1543.048379,327.1670485,5,15.27596807,
Captain Marvel,Walt Disney,Action,426829839,46597144,5,2019,1525.936804,351.8083552,25,19.87189599,
Shazam!,Warner Bros.,Action,140371656,15324416,19,2019,1481.031604,348.8889314,20,18.75980415,
Everybody Knows,Focus Features,Drama,2677805,292337,186,2019,1461.587966,336.6029655,3,14.80050799,
Ne Zha,Well Go USA,Adventure,3695533,403442,172,2019,1455.726651,335.320399,3,15.12263535,
Penguins,Walt Disney,Documentary,7699452,840552,140,2019,1452.016324,342.407957,5,15.85665972,
Aladdin,Walt Disney,Adventure,355559216,38816508,8,2019,1445.152987,370.7229609,22,19.68920236,
Cold Pursuit,Lionsgate,Thriller/Suspense,32138862,3508609,79,2019,1412.760178,357.4675508,13,17.28557651,
Hotel Mumbai,Bleecker Street,Thriller/Suspense,9619500,1050163,133,2019,1410.323656,339.6332198,5,16.07930285,
Cats,Universal,Musical,19970095,2180141,106,2019,1396.183714,343.0030826,9,16.80974646,
Little Women,Sony Pictures,Drama,70502828,7696815,40,2019,1370.184416,342.8120005,17,18.07116338,
63 Up,BritBox,Documentary,183940,19547,168,2020,1369.464497,320.8237829,5,12.1223649,
Mafia  Inc.,Films Seville,Drama,264552,28113,155,2020,1368.765136,310.8482681,5,12.48579311,
The Photograph,Universal,Drama,20578185,2244076,24,2020,1343.997113,307.450471,20,16.83974209,
Dolittle,Universal,Adventure,77047065,8402079,7,2020,1323.913939,270.5632628,22,18.15992703,
Half Brothers,Focus Features,Comedy,2016150,214256,72,2020,1320.816876,235.7005578,13,14.51670031,
Brahms: The Boy II,STX Entertainment,Horror,12611536,1375303,34,2020,1332.898921,208.2410569,17,16.35012251,
Like a Boss,Paramount Pictures,Comedy,22169514,2417613,22,2020,1335.373416,171.3238945,20,16.91422866,
And Then We Danced,Music Box Films,Drama,177262,18837,170,2020,1355.407095,156.3689053,5,12.08538414,
1917,Universal,Thriller/Suspense,157901466,17219352,2,2020,1349.490603,126.9581059,25,18.87748176,
The SpongeBob Movie: Sponge...,Paramount Pictures,Adventure,4810790,524622,52,2020,1376.664723,97.60564097,15,15.38637187,
Followed,Global View Enter...,Horror,538179,57192,120,2020,1398.644423,98.55052677,7,13.1959465,
Joker,Warner Bros.,Thriller/Suspense,1678800,183075,75,2020,1418.629946,97.7896992,13,14.33358981,
Alita: Battle Angel,20th Century Fox,Action,128000,13958,188,2020,1421.588589,113.5137709,3,11.75978554,
The Call of the Wild,20th Century Studios,Adventure,62342368,6798513,9,2020,1452.428763,88.69904461,22,17.94815182,
Honeyland,Neon,Documentary,102719,11201,195,2020,1459.563015,112.6594796,3,11.53975238,
Synchronic,Well Go USA,Thriller/Suspense,636673,69429,112,2020,1472.520907,109.6109013,7,13.36401146,
Star Wars Ep. V: The Empire...,20th Century Fox,Adventure,1580209,172323,77,2020,1492.114825,105.601119,13,14.27306767,
Jay and Silent Bob Reboot,Fathom Events,Comedy,1330666,145110,80,2020,1507.109247,126.8418182,13,14.10119013,
The Silencing,Saban Films,Thriller/Suspense,100746,10986,200,2020,1495.699284,141.0584459,3,11.52035778,
The Tax Collector,RLJ Entertainment,Action,1044212,113872,89,2020,1529.097346,140.7171032,13,13.85877309,
Honest Thief,Open Road,Thriller/Suspense,14163574,1544555,30,2020,1560.693921,150.238469,20,16.46618402,
The Times of Bill Cunningham,Greenwich,Documentary,134288,14270,186,2020,1569.091973,171.6504454,3,11.80774203,
Panga,FIP,Drama,582720,61925,116,2020,1578.455772,175.1603265,7,13.27546208,
Tokyo Godfathers,IDP Distribution,Adventure,237581,25908,156,2020,1581.951946,186.6397326,5,12.3782639,
Just Mercy,Warner Bros.,Drama,35733621,3896796,14,2020,1596.226283,207.1639457,20,17.39160257,
Relic,IFC Midnight,Thriller/Suspense,1047083,114185,88,2020,1592.025792,239.8955188,13,13.86151876,
A Christmas Story,MGM,Comedy,3896391,424906,58,2020,1568.129558,406.8713135,15,15.1755613,
Ordinary Love,Bleecker Street,Drama,323688,35298,143,2020,1582.562224,277.4594955,5,12.68753537,
Fantasy Island,Sony Pictures,Horror,26441782,2883509,19,2020,1513.365369,415.8709284,20,17.09045597,
The Traitor,Sony Pictures Cla...,Drama,296027,32282,148,2020,1582.434434,320.2650426,5,12.59820595,
Shortcut,Gravitas Ventures,Horror,758223,80576,103,2020,1584.72004,334.0772114,9,13.53873282,
The Doors: Break on Thru �?...,Trafalgar Releasing,Documentary,186920,19863,164,2020,1572.869597,341.5315397,5,12.138436,
A Hidden Life,Fox Searchlight,Drama,456268,49756,131,2020,1563.240183,344.2286468,5,13.03083564,
Burden,101 Studios,Drama,139270,15187,181,2020,1555.976496,340.8762069,3,11.84416977,
Once Were Brothers: Robbie ...,Magnolia Pictures,Documentary,449561,47774,132,2020,1555.927198,351.0492217,5,13.01602683,
2 Hearts,Freestyle Releasing,Drama,1349284,147141,79,2020,1560.03862,368.5733824,13,14.11508464,
Emma.,Focus Features,Drama,10055355,1096549,38,2020,1540.389782,391.2432561,17,16.12361589,
The Last Shift,Sony Pictures,Comedy,643658,68401,111,2020,1517.927799,382.7898955,7,13.37492281,
Downhill,Searchlight Pictures,Drama,8287061,903714,44,2020,1493.940289,383.564079,17,15.93020594,
First Cow,A24,Drama,101068,10740,199,2020,1477.861795,371.6694563,3,11.52354884,
Coco,Walt Disney,Musical,734000,80043,105,2020,1468.91828,390.6280067,9,13.50626431,
The Invisible Man,Universal,Horror,64914050,7078958,8,2020,1449.186871,414.5376592,22,17.98857465,
The Dark and The Wicked,RLJ Entertainment,Horror,152261,16604,176,2020,1435.345594,393.7189399,3,11.93335143,
My Boyfriend's Meds,Lionsgate,Romantic Comedy,2971116,324003,66,2020,1417.406656,395.20032,15,14.9044482,
Monsters  Inc.,Walt Disney,Adventure,726000,79171,106,2020,1402.101964,376.7133943,9,13.49530529,
How the Grinch Stole Christmas,Universal,Adventure,304000,33151,144,2020,1396.026753,364.1002344,5,12.62478298,
Love and Monsters,Paramount Pictures,Adventure,1070714,116762,87,2020,1377.536793,374.3169659,13,13.88383627,
Black Christmas,Universal,Horror,562060,61293,117,2020,1360.620126,364.8239145,7,13.23936388,
The Rental,IFC Films,Thriller/Suspense,1637548,178576,76,2020,1340.965414,355.4265134,13,14.30871056,
Murder in the Woods,Rezinate Entertai...,Horror,109299,11615,192,2020,1350.25099,341.1815008,3,11.60184252,
The Way Back,Warner Bros.,Drama,13590514,1444262,31,2020,1320.253023,335.8268376,17,16.42488261,
Frozen II,Walt Disney,Adventure,26934045,2937191,18,2020,1310.83141,370.9730256,20,17.10890166,
A Beautiful Day in the Neig...,Sony Pictures,Drama,2894475,315646,68,2020,1284.960827,347.4253971,15,14.87831431,
Vanguard,Gravitas Ventures,Action,793525,84327,100,2020,1355.235745,270.8019539,9,13.58424032,
2020 Oscar Shorts,ShortsHD,Multiple Genres,3304748,351195,62,2020,1276.777031,375.4309794,15,15.01087078,
The Secrets We Keep,Bleecker Street,Thriller/Suspense,231119,24560,158,2020,1311.934019,215.0450522,5,12.35068801,
Chhapaak,FIP,Drama,604334,64222,114,2020,1358.899705,197.4350162,7,13.3118823,
Die Hard,20th Century Fox,Action,1036063,112983,90,2020,1345.200224,385.5073529,13,13.85093851,
Weathering With You,GKIDS,Drama,7798703,828767,45,2020,1328.184414,413.291865,17,15.869468,
Sonic The Hedgehog,Paramount Pictures,Adventure,146066470,15928731,3,2020,1297.433857,117.2918941,25,18.79957235,
The Wretched,IFC Midnight,Horror,1815440,192926,74,2020,1330.494817,94.046708,13,14.41183842,
Midway,Lionsgate,Action,299520,32663,147,2020,1351.253605,96.98361947,5,12.60993647,
Underwater,20th Century Fox,Thriller/Suspense,17291078,1885613,27,2020,1354.027421,70.91196073,20,16.6657012,
The Wolf of Snow Hollow,Orion Classics,Horror,185026,19662,166,2020,1378.100257,77.6572264,5,12.12825163,
The Big Ugly,Vertical Entertai...,Action,514107,56064,125,2020,1389.867764,80.0079219,7,13.15018669,
Saint Frances,Oscilloscope Pict...,Multiple Genres,127275,13879,189,2020,1392.774562,89.57612592,3,11.75410538,
Tulsa,Self Distributed,Drama,413522,43944,135,2020,1400.222056,86.6546841,5,12.932466,
Jumanji: The Next Level,Sony Pictures,Adventure,124736710,13602694,4,2020,1378.825847,410.98058875,25,18.64171575,
Spies in Disguise,20th Century Fox,Adventure,19714592,2149900,25,2020,1457.931368,47.06106515,20,16.79686963,
Infidel,Cloudburst Entert...,Thriller/Suspense,4051990,430604,57,2020,1484.360121,70.00711126,15,15.21471868,
Impractical Jokers: The Movie,truTV,Comedy,10466091,1112230,36,2020,1513.072381,84.13531287,17,16.16365116,
Elf,New Line,Comedy,905000,98691,93,2020,1520.179341,109.1451335,9,13.71569022,
Buddy Games,Paramount Pictures,Comedy,405904,44264,136,2020,1524.563012,122.4411263,5,12.91387196,
Queen & Slim,Universal,Drama,3089365,336899,64,2020,1543.771503,116.870319,15,14.94347613,
Met Opera �?Agrippina,Fathom Events,Concert/Perfor...,1150000,122210,83,2020,1571.680886,119.1211651,13,13.9552725,
Portrait of a Lady on Fire,Neon,Drama,3759854,410016,59,2020,1593.138216,137.1095786,15,15.13989068,
National Lampoon's Christma...,Warner Bros.,Comedy,4593728,500951,54,2020,1598.716285,166.5864363,15,15.34020245,
IP Man: The Finale,Well Go USA,Action,1089355,115765,86,2020,1620.22513,184.5132209,13,13.90109634,
The New Mutants,20th Century Studios,Horror,23855569,2601479,20,2020,1635.694841,215.6626296,20,16.98752825,
Archenemy,RLJ Entertainment,Action,101360,10771,197,2020,1614.11529,221.620204,3,11.52643381,
The Rescue,Greenwich,Documentary,787460,75717,132,2021,1743.805827,245.4798876,5,13.57656785,
The Little Things,Warner Bros.,Thriller/Suspense,15342746,1673146,55,2021,1749.520112,226.3135907,15,16.54615335,
Julia,Sony Pictures Cla...,Documentary,389890,37489,156,2021,1753.798956,245.8505172,5,12.87361993,
The Marksman,Open Road,Action,15566093,1697501,53,2021,1749.198845,265.3143036,15,16.56060558,
The Unholy,Sony Pictures,Horror,15532137,1493475,54,2021,1727.755908,286.2952576,15,16.55842179,
Monster Hunter,Sony Pictures,Action,10144067,1106223,66,2021,1697.890712,289.1360473,15,16.13239956,
Ghost in the Shell,Palm Pictures,Action,373169,40694,158,2021,1686.662873,272.5850461,5,12.82978668,
Wolf,Focus Features,Drama,147595,14192,196,2021,1682.683589,265.644924,3,11.90222732,
Encanto,Walt Disney,Adventure,91386126,9711596,15,2021,1660.666498,258.9930297,20,18.33060423,
The Alpinist,Roadside Attractions,Documentary,844743,81225,128,2021,1673.284904,235.1230522,7,13.64678772,
Flag Day,United Artists,Drama,424667,46310,153,2021,1680.198625,225.3148686,5,12.95906061,
Earwig and the Witch,GKIDS,Adventure,173704,16702,191,2021,1686.839079,220.8534382,3,12.06510798,
God's Not Dead: We the Peop...,Pinnacle Peak,Drama,1170387,112537,119,2021,1692.203311,212.4139465,7,13.97284502,
Peter Rabbit 2: The Runaway,Sony Pictures,Adventure,40501717,4416763,32,2021,1711.812374,198.5761493,17,17.51685493,
Bergman Island,IFC Films,Drama,145191,15833,198,2021,1722.523506,215.4661362,3,11.8858054,
Lamb,A24,Drama,2676410,257347,99,2021,1736.727891,206.0069642,9,14.7999869,
PAW Patrol: The Movie,Paramount Pictures,Adventure,40127371,3858401,33,2021,1760.888293,196.4009768,17,17.50756923,
Drive My Car,Janus Films,Drama,328721,31607,167,2021,1767.427308,217.4067207,5,12.70296465,
A Journal for Jordan,Sony Pictures,Drama,3905919,425945,87,2021,1776.758649,232.7991243,13,15.17800365,
Dear Evan Hansen,Universal,Musical,15002646,1636057,56,2021,1778.845162,260.7212743,15,16.52373714,
Reminiscence,Warner Bros.,Thriller/Suspense,3900193,425321,88,2021,1767.641797,286.3822297,13,15.1765366,
Promising Young Woman,Focus Features,Black Comedy,5252785,572823,82,2021,1749.013071,304.5197747,13,15.47426897,
In the Earth,Neon,Horror,1113722,107088,120,2021,1729.361474,308.2365921,7,13.92321812,
After We Fell,Vertical Entertai...,Drama,2170750,208725,107,2021,1713.379913,307.468659,9,14.59058329,
Dream Horse,Bleecker Street,Drama,2913328,280127,95,2021,1696.277486,313.0817671,9,14.88480663,
Nobody,Universal,Thriller/Suspense,27568035,3006329,40,2021,1671.09216,306.6242612,17,17.13216751,
Doctor,Hamsini,Action,220000,21153,184,2021,1679.896835,288.6665969,3,12.30138283,
Respect,United Artists,Drama,24278399,2647589,44,2021,1641.186012,290.4495185,17,17.00509758,
A Mouthful of Air,Sony Pictures,Drama,269435,25907,175,2021,1640.725897,270.4548118,3,12.50408245,
House of Gucci,United Artists,Drama,49023527,4713800,26,2021,1620.66704,259.2012683,20,17.70781088,
The Night House,Searchlight Pictures,Horror,7100581,774327,75,2021,1646.530118,427.8486952,13,15.77568717,
Pig,Neon,Drama,3186667,306410,91,2021,1661.022616,220.8451001,9,14.9744861,
The Truffle Hunters,Sony Pictures Cla...,Documentary,521202,50115,143,2021,1673.284992,218.0897955,5,13.16389296,
The War with Grandpa,101 Studios,Comedy,2416285,263498,102,2021,1678.061588,204.9298514,9,14.69774179,
City of Lies,Saban Films,Drama,572493,62431,141,2021,1689.845426,197.3706735,5,13.25775579,
Joe Bell,Roadside Attractions,Drama,1405488,153270,115,2021,1691.679804,185.5117083,7,14.15589513,
Final Account,Focus Features,Documentary,308976,29709,169,2021,1701.762944,179.0055349,5,12.64101888,
Space Jam: A New Legacy,Warner Bros.,Comedy,70592228,7698171,18,2021,1720.672892,162.6527416,20,18.07243061,
The Conjuring: The Devil Ma...,Warner Bros.,Horror,65631050,7157148,19,2021,1760.540632,159.4026102,20,17.99955947,
Courageous,Sony Pictures,Drama,495002,53980,145,2021,1775.175392,179.6713985,5,13.11231708,
Four Good Days,Vertical Entertai...,Drama,837849,80562,129,2021,1783.488766,188.3251732,7,13.63859317,
Nomadland,Searchlight Pictures,Drama,2180000,237732,106,2021,1785.699916,204.1716496,9,14.59483543,
Godzilla vs. Kong,Warner Bros.,Action,100916094,11005027,13,2021,1808.12846,222.5553493,20,18.42979998,
Half Brothers,Focus Features,Comedy,225830,21714,182,2021,1791.664066,238.6153536,3,12.32753778,
Halloween Kills,Universal,Horror,92002155,10032950,14,2021,1813.816032,262.1489286,20,18.33732256,
The Courier,Roadside Attractions,Thriller/Suspense,6613432,721203,78,2021,1793.577189,288.2140242,13,15.70461329,
The Lost Leonardo,Sony Pictures Cla...,Documentary,445740,42859,151,2021,1779.732352,299.7170892,5,13.0074911,
Escape From Mogadishu,Well Go USA,Action,342598,32942,162,2021,1770.74982,304.1118714,5,12.74431303,
The Girl Who Believes In Mi...,Atlas Distribution,Drama,3163362,304169,92,2021,1766.754135,317.529565,9,14.96714594,
Blithe Spirit,IFC Films,Comedy,282499,27163,172,2021,1754.900372,319.397264,3,12.55143029,
The Card Counter,Focus Features,Thriller/Suspense,2652315,255030,100,2021,1744.978379,326.1466391,9,14.7909434,
Groundhog Day,Sony Pictures,Romantic Comedy,200989,21918,189,2021,1738.157431,316.2737135,3,12.21100546,
Finding You,Roadside Attractions,Drama,2753985,264806,98,2021,1727.097913,324.075667,9,14.82855951,
Benedetta,IFC Films,Drama,336050,32312,163,2021,1713.342796,321.4686098,5,12.72501524,
The Reckoning,RLJ Entertainment,Horror,143532,13801,200,2021,1705.361436,320.9228029,3,11.87431329,
Werewolves Within,IFC Films,Horror,575783,55363,140,2021,1699.765801,326.6402205,5,13.26348613,
Shiva Baby,Utopia,Comedy,159294,15316,194,2021,1692.105652,324.3332474,3,11.97850683,
Stillwater,Focus Features,Drama,14465535,1577485,58,2021,1679.756474,337.4289634,15,16.48727948,
The Green Knight,A24,Adventure,17173321,1872772,49,2021,1648.253412,331.8113923,17,16.65886763,
Once I Was Engaged,Purdie Distribution,Comedy,254775,24497,178,2021,1651.867995,312.1407342,3,12.44813608,
No Time to Die,United Artists,Action,160772007,17532388,7,2021,1612.313665,316.6675954,22,18.89549781,
Mortal Kombat,Warner Bros.,Action,42326031,4615707,31,2021,1592.433472,283.114981,17,17.56091284,
Tenet,Warner Bros.,Action,459940,50157,149,2021,1595.76112,261.3681017,5,13.03885133,
A Rescue of Little Eggs,Lionsgate,Comedy,927154,89149,126,2021,1600.520343,400.3705175,7,13.73987496,
Limbo,Focus Features,Drama,224405,21577,183,2021,1563.721993,233.6492463,3,12.32120773,
Rita Moreno: Just a Girl Wh...,Roadside Attractions,Documentary,264626,25444,176,2021,1608.320962,239.795744,3,12.48607279,
Clifford the Big Red Dog,Paramount Pictures,Adventure,48947356,5337771,27,2021,1619,95,20,17.70625591,
Belfast,Focus Features,Drama,6885925,662108,77,2021,1647.999704,73.9662466,13,15.74499003,
F9: The Fast Saga,Universal,Action,173005945,18866515,5,2021,1661.83625,172.9634506,25,18.96883652,
Willy's Wonderland,Screen Media Films,Horror,418286,40219,154,2021,1691.832863,173.5126844,5,12.94392069,
Supernova,Bleecker Street,Drama,234220,22521,180,2021,1698.674589,169.3665076,3,12.36401612,
Shang-Chi and the Legend of...,Walt Disney,Action,224543292,24486728,2,2021,1688.212628,131.4865547,25,19.22957908,
Judas and the Black Messiah,Warner Bros.,Drama,5478009,526732,80,2021,1726.187934,130.1168489,13,15.51625227,
Crisis,Quiver,Thriller/Suspense,409363,44641,155,2021,1740.473518,144.1395305,5,12.92235757,
Free Guy,20th Century Studios,Action,121626598,13263533,10,2021,1758.810826,117.4382471,22,18.61646624,
I'm Your Man,Bleecker Street,Comedy,275158,26457,174,2021,1771.31872,139.0843225,3,12.52510076,
Cruella,Walt Disney,Comedy,86103234,9389666,17,2021,1794.899981,138.9224945,20,18.27105753,
Sing 2,Universal,Adventure,90247305,9590574,16,2021,1807.884694,176.756305,20,18.31806429,
Dune,Warner Bros.,Action,107215864,11393821,12,2021,1840.802408,199.4812709,20,18.49035478,
The Last Duel,20th Century Studios,Drama,10853945,1043648,63,2021,1841.034245,234.480503,15,16.20003917,
DC League of Super Pets,Warner Bros.,Adventure,93657117,10213426,21,2022,1853.497584,267.1862396,20,18.35515098,
The Godfather,Paramount Pictures,Drama,1414662,150336,151,2022,1831.767816,279.5481657,5,14.16240119,
The Phantom of the Open,Sony Pictures Cla...,Comedy,748805,71656,173,2022,1824.367055,282.5860495,3,13.52623388,
The Bob's Burgers Movie,20th Century Studios,Comedy,31933830,3482424,45,2022,1820.150896,302.1365994,17,17.27917651,
Mr. Malcolm's List,Bleecker Street,Romantic Comedy,1885720,180451,138,2022,1798.417473,305.5510267,5,14.44982027,
Umma,Sony Pictures,Horror,2121025,202969,132,2022,1788.417898,305.4587834,5,14.56741002,
ET: The Extra-Terrestrial,Universal,Drama,4301665,469101,109,2022,1784.697572,318.955419,9,15.27451272,
Runway 34,Yash Raj Films,Thriller/Suspense,549624,52595,181,2022,1775.097111,326.1548041,3,13.21698969,
A Journal for Jordan,Sony Pictures,Drama,2639255,287814,121,2022,1768.266026,333.4579731,7,14.78600724,
Nightmare Alley,Searchlight Pictures,Thriller/Suspense,3757964,399358,115,2022,1755.191305,338.463138,7,15.13938788,
Encanto,Walt Disney,Adventure,4707496,500265,105,2022,1739.985093,343.4401954,9,15.36466669,
EO,Janus Films,Drama,440046,42109,188,2022,1731.08121,335.3952671,3,12.99463455,
The Whale,A24,Drama,5855410,560326,95,2022,1720.348304,340.7622719,9,15.58287658,
Hansan: Rising Dragon,Well Go USA,Action,865888,82860,167,2022,1710.314408,330.999028,5,13.67151085,
Spoiler Alert,Focus Features,Drama,1384003,150927,153,2022,1701.904117,336.4089259,5,14.14049058,
Glass Onion: A Knives Out M...,Netflix,Drama,15000000,1435406,59,2022,1702.581502,356.8973499,15,16.52356076,
Halloween Ends,Universal,Horror,64079860,6987989,30,2022,1670.647507,371.2228493,20,17.97564068,
The King's Daughter,Gravitas Ventures,Adventure,1747263,190541,142,2022,1653.294948,353.2259415,5,14.37356112,
Fire of Love,Neon,Documentary,1064080,101825,157,2022,1643.294966,353.2453331,5,13.87762113,
Bones and All,United Artists,Thriller/Suspense,7834907,749752,87,2022,1625.405567,351.2529971,13,15.87409956,
American Underdog: The Kurt...,Lionsgate,Drama,14301214,1368537,63,2022,1597.414766,350.5353208,15,16.47585499,
Gigi & Nate,Roadside Attractions,Drama,2280814,218259,128,2022,1892.147479,315.078116,7,14.64004295,
Black Adam,Warner Bros.,Action,168054237,18326525,11,2022,1810,86,20,18.93979732,
Radhe Shyam,Great India Films,Drama,1800000,172248,141,2022,1571.698856,236.5218082,5,14.40329722,
Marcel the Shell with Shoes On,A24,Comedy,6333703,606095,94,2022,1571.620733,223,9,15.66139562,
The Northman,Focus Features,Action,34233110,3275895,42,2022,1859,134.8542828,17,17.34870386,
Twenty One Pilots: Cinema E...,Trafalgar Releasing,Concert/Perfor...,875000,83732,166,2022,1611.778441,232.9688436,5,13.68197917,
Paws of Fury: The Legend of...,Paramount Pictures,Adventure,17811382,1704438,58,2022,1583,90,15,16.69534825,
The Chosen Season 3: Episod...,Fathom Events,Drama,14612089,1398286,61,2022,1711.938787,88.8272734,15,16.49735976,
The Worst Person in the World,Neon,Comedy,3034775,290409,118,2022,1613.804521,124.0546746,7,14.92564784,
Man of God,Fathom Events,Drama,920561,88091,165,2022,1622,135.5491478,5,13.73273855,
2000 Mules,D'Souza Media,Documentary,1465512,140240,149,2022,1643,151,5,14.19771523,
