(887.85, 169.88)
(930.5, 265.54)
(784.02, 145.53)
(859.17, 281.43)
(815.22, 302.71)
(1431.7, 196.4)
(935.93, 374.92)
(1771.79, 307.04)
(889.49, 342.36)
(1281.8, 312.12)
(1630.78, 267.28)
(785.42, 357.28)
(1106.33, 316.26)
(1040.88, 315.32)
(1324.26, 345.69)
(999.25, 144.47)
(1320.26, 202.68)
(639.6, 209.81)
(1148.18, 143.03)
(894.28, 396.72)
(1249.54, 161.9)
(835.71, 195.25)
(644.83, 340.57)
(1799.63, 185.75)
(1366.95, 294.01)
(973.24, 173.41)
(947.75, 122.44)
(1582.0, 243.23)
(1110.69, 193.71)
(1066.38, 365.37)
(1324.04, 152.33)
(1287.86, 182.86)
(1724.37, 313.5)
(1724.4, 165.94)
(1268.22, 375.99)
(1576.01, 179.94)
(1065.89, 217.75)
(731.04, 342.49)
(694.87, 230.36)
(1014.99, 341.95)
(1550.99, 273.56)
(1601.06, 215.32)
(946.59, 415.46)
(1339.23, 274.67)
(1652.63, 300.72)
(774.09, 405.02)
(1772.38, 166.04)
(862.15, 103.82)
(1147.9, 249.94)
(1314.02, 122.06)
(1214.15, 361.78)
(759.46, 293.85)
(1060.58, 133.49)
(1042.32, 386.09)
(851.7, 151.44)
(697.77, 341.23)
(1843.98, 188.32)
(910.61, 105.83)
(1192.02, 277.86)
(838.96, 374.19)
(653.38, 288.27)
(1293.45, 392.9)
(1457.22, 239.42)
(879.4, 249.03)
(1000.04, 384.76)
(992.69, 93.37)
(1067.93, 396.2)
(755.04, 107.85)
(716.99, 305.8)
(1303.88, 275.16)
(598.22, 246.99)
(1902.14, 235.43)
(968.55, 308.96)
(1461.33, 174.6)
(1342.12, 235.95)
(1653.2, 195.7)
(1081.24, 256.46)
(838.24, 400.63)
(949.78, 91.77)
(1296.33, 366.84)
(1106.31, 253.96)
(1862.44, 311.82)
(1318.41, 378.52)
(1699.34, 328.92)
(1443.26, 343.29)
(1170.29, 216.69)
(1042.79, 172.37)
(1691.39, 257.04)
(1675.6, 206.87)
(967.7, 224.4)
(1373.14, 330.48)
(1291.91, 136.49)
(1359.71, 352.66)
(1026.88, 127.57)
(937.32, 184.24)
(696.95, 370.29)
(617.14, 180.95)
(1229.91, 311.38)
(723.78, 219.36)
(863.29, 400.0)
(1752.91, 188.77)
(1219.53, 199.9)
(834.78, 105.66)
(728.45, 124.76)
(1395.91, 286.87)
(724.84, 270.68)
(1151.77, 358.11)
(909.56, 80.68)
(1166.55, 322.97)
(693.47, 132.26)
(1511.3, 159.86)
(1187.81, 343.32)
(749.04, 195.06)
(1499.18, 326.0)
(1101.57, 145.5)
(1285.97, 345.44)
(1808.73, 256.28)
(975.32, 345.68)
(680.93, 164.86)
(1854.13, 253.58)
(817.48, 132.13)
(697.94, 260.28)
(1089.44, 124.78)
(728.09, 158.23)
(1855.09, 346.37)
(969.87, 103.8)
(1144.53, 396.59)
(1732.03, 211.67)
(1247.31, 129.11)
(827.83, 158.26)
(910.41, 199.88)
(1718.59, 270.36)
(1629.37, 327.21)
(734.94, 290.1)
(1650.72, 326.49)
(972.08, 383.11)
(1579.97, 308.28)
(1223.65, 282.42)
(931.52, 146.08)
(1350.9, 159.83)
(886.34, 132.92)
(1201.72, 135.84)
(1829.83, 331.13)
(1888.11, 175.85)
(1388.01, 313.82)
(1068.6, 285.93)
(990.91, 217.39)
(818.65, 387.06)
(1392.56, 227.63)
(1114.39, 404.97)
(921.67, 408.77)
(1851.14, 224.93)
(1559.11, 307.24)
(857.24, 348.94)
(1277.97, 153.66)
(1023.79, 190.57)
(1532.37, 209.11)
(1367.3, 147.15)
(1818.03, 287.45)
(1439.9, 150.14)
(1338.5, 318.1)
(1078.61, 156.79)
(793.57, 205.94)
(840.13, 338.34)
(1027.03, 105.74)
(1701.8, 180.57)
(1828.96, 310.7)
(1420.23, 154.21)
(866.06, 132.25)
(911.54, 142.34)
(1296.74, 251.33)
(1247.31, 359.33)
(1275.59, 122.12)
(612.63, 296.5)
(1187.02, 202.59)
(1090.23, 226.56)
(701.73, 167.6)
(1136.03, 115.67)
(688.75, 200.55)
(1435.42, 231.5)
(1789.89, 247.81)
(801.71, 402.7)
(1700.11, 229.15)
(1508.73, 180.55)
(1890.95, 330.32)
(1264.83, 211.46)
(1533.85, 172.23)
(1121.69, 102.71)
(1348.0, 139.98)
(1169.51, 122.77)
(1143.43, 333.09)
(1515.95, 198.35)
(1147.65, 199.97)
(1863.88, 175.82)
(1680.15, 284.01)
(750.72, 397.97)
(1833.99, 167.1)
(1874.12, 248.22)
(1250.11, 306.01)
(1348.39, 212.61)
(1228.34, 181.13)
(1393.82, 152.58)
(1557.28, 329.19)
(1801.66, 347.47)
(811.69, 112.85)
(1435.92, 321.03)
(1112.41, 122.42)
(1219.96, 128.45)
(1048.5, 345.63)
(1426.06, 299.88)
(1265.9, 138.53)
(768.99, 192.51)
(1011.94, 403.92)
(1136.58, 169.54)
(773.88, 90.73)
(917.52, 327.81)
(635.14, 301.93)
(704.98, 111.75)
(795.61, 104.24)
(1848.78, 156.16)
(1719.38, 230.02)
(1373.05, 210.24)
(892.37, 92.1)
(1127.37, 343.85)
(1087.6, 288.69)
(1388.92, 170.09)
(1882.57, 210.45)
(929.14, 85.45)
(661.39, 167.99)
(870.74, 215.66)
(721.21, 407.86)
(1441.58, 273.34)
(974.63, 122.83)
(1870.05, 222.83)
(994.35, 296.49)
(1674.62, 178.81)
(1525.4, 307.14)
(1550.45, 203.82)
(948.84, 337.01)
(730.11, 200.36)
(663.36, 141.32)
(1201.68, 236.5)
(1729.1, 338.74)
(1628.01, 163.98)
(1147.24, 377.36)
(1167.77, 185.83)
(666.22, 251.08)
(723.71, 378.86)
(830.17, 353.73)
(1290.55, 231.91)
(1866.18, 158.03)
(1292.3, 114.67)
(1871.02, 330.89)
(1406.01, 256.36)
(634.26, 265.93)
(1517.05, 333.98)
(1407.06, 167.0)
(876.3, 85.48)
(701.92, 290.42)
(1597.78, 287.98)
(969.93, 364.3)
(1120.63, 149.3)
(788.78, 321.71)
(1312.0, 318.47)
(746.66, 319.89)
(982.91, 324.47)
(1371.69, 170.77)
(1026.33, 154.57)
(790.44, 223.91)
(816.08, 92.76)
(1780.2, 342.06)
(1749.39, 169.06)
(1642.37, 176.26)
(1422.66, 341.98)
(1073.08, 114.84)
(762.84, 384.18)
(797.44, 175.89)
(1191.7, 151.6)
(1713.17, 344.13)
(1119.57, 166.17)
(1312.47, 242.55)
(1614.11, 174.91)
(664.56, 359.8)
(710.37, 388.83)
(884.73, 107.39)
(1117.33, 386.79)
(1752.35, 332.13)
(835.1, 125.18)
(922.06, 214.54)
(1833.08, 228.22)
(814.98, 342.95)
(1605.57, 304.49)
(577.61, 251.88)
(611.44, 208.67)
(810.42, 165.25)
(1540.77, 334.52)
(1815.12, 228.14)
(1462.73, 310.05)
(701.94, 149.5)
(637.53, 249.79)
(752.9, 156.27)
(1184.36, 315.86)
(788.3, 386.95)
(903.67, 126.41)
(1587.82, 329.7)
(1215.58, 244.87)
(1360.55, 182.92)
(1127.21, 213.29)
(1170.46, 362.56)
(1029.15, 364.65)
(1465.47, 287.38)
(1686.71, 190.23)
(864.4, 325.12)
(1529.42, 323.27)
(1042.21, 115.2)
(1238.27, 374.63)
(1833.13, 149.83)
(1091.76, 365.5)
(862.41, 192.45)
(1153.6, 115.84)
(932.01, 101.86)
(991.02, 192.42)
(1172.03, 270.14)
(1069.43, 188.61)
(1832.11, 349.27)
(1802.73, 311.94)
(1306.09, 227.09)
(815.49, 235.93)
(1541.45, 303.48)
(1658.42, 175.79)
(912.83, 293.84)
(1612.78, 318.63)
(1283.12, 276.39)
(1481.75, 199.67)
(1600.52, 166.61)
(947.67, 165.42)
(1287.22, 207.67)
(1046.53, 241.28)
(1434.33, 254.21)
(1803.2, 330.59)
(948.97, 220.22)
(1603.43, 330.89)
(737.38, 387.27)
(984.89, 370.28)
(617.86, 240.21)
(1786.79, 148.7)
(961.25, 397.72)
(717.09, 190.88)
(1494.76, 208.82)
(1255.77, 344.1)
(1633.01, 198.84)
(1131.28, 379.47)
(1544.18, 318.58)
(1193.87, 170.31)
(814.76, 358.42)
(1232.46, 139.59)
(1711.82, 196.37)
(1780.08, 203.28)
(720.1, 99.36)
(786.9, 187.41)
(1248.6, 215.65)
(1126.3, 252.15)
(1918.53, 262.26)
(1600.0, 181.82)
(1925.24, 244.51)
(963.78, 199.86)
(1814.99, 321.02)
(1010.8, 364.92)
(1481.19, 170.03)
(1184.81, 130.25)
(1373.24, 251.53)
(897.85, 260.48)
(1483.15, 337.4)
(1405.48, 316.88)
(963.51, 332.09)
(1360.12, 244.95)
(666.08, 305.13)
(968.86, 85.62)
(1087.78, 383.24)
(991.67, 353.89)
(1245.79, 333.21)
(843.65, 240.12)
(1007.7, 319.92)
(1468.0, 271.78)
(1209.08, 329.95)
(1220.19, 225.17)
(679.43, 285.98)
(1203.13, 208.44)
(1153.06, 302.83)
(1211.59, 307.41)
(1090.29, 179.64)
(1223.39, 328.99)
(1517.52, 292.41)
(1111.97, 235.09)
(979.28, 292.27)
(1442.53, 167.32)
(959.28, 250.93)
(1701.65, 212.38)
(977.76, 259.92)
(632.57, 285.91)
(858.49, 381.95)
(1619.73, 189.19)
(844.99, 90.14)
(1057.33, 105.28)
(922.48, 123.13)
(1235.17, 209.65)
(1678.19, 311.66)
(1542.88, 222.75)
(1180.76, 253.72)
